date,asset,usd,inr
2024-08-15,btc,57560.1,4932272.0
2024-08-14,btc,58737.27,5084054.0
2024-08-13,btc,60609.57,4979695.5
2024-08-12,btc,59354.52,4929503.5
2024-08-11,btc,58719.48,5116635.5
2024-08-10,btc,60945.81,5111120.0
2024-08-09,btc,60880.11,5182982.0
2024-08-08,btc,61710.14,4619143.0
2024-08-07,btc,55027.46,4703248.5
2024-08-06,btc,56034.32,4535437.0
2024-08-05,btc,53991.46,4866458.0
2024-08-04,btc,58116.98,5083011.0
2024-08-03,btc,60680.09,5144577.5
2024-08-02,btc,61415.07,5473308.0
2024-08-01,btc,65357.5,5409797.5
2024-07-31,btc,64619.25,5545915.0
2024-07-30,btc,66201.02,5596217.5
2024-07-29,btc,66819.91,5714931.5
2024-07-28,btc,68255.87,5677502.5
2024-07-27,btc,67813.34,5686922.0
2024-07-26,btc,67912.06,5508497.5
2024-07-25,btc,65777.23,5474461.5
2024-07-24,btc,65372.13,5518611.0
2024-07-23,btc,65927.67,5654934.5
2024-07-22,btc,67585.25,5706615.0
2024-07-21,btc,68154.52,5623645.5
2024-07-20,btc,67163.65,5585674.5
2024-07-19,btc,66710.16,5353945.0
2024-07-18,btc,63974.07,5358546.0
2024-07-17,btc,64118.79,5437542.5
2024-07-16,btc,65097.15,5422395.5
2024-07-15,btc,64870.15,5077029.0
2024-07-14,btc,60787.79,4946948.0
2024-07-13,btc,59231.95,4835661.0
2024-07-12,btc,57899.46,4789731.5
2024-07-11,btc,57344.91,4821189.5
2024-07-10,btc,57742.5,4843262.5
2024-07-09,btc,58009.23,4732486.0
2024-07-08,btc,56705.1,4661856.5
2024-07-07,btc,55849.11,4866727.5
2024-07-06,btc,58303.54,4729736.0
2024-07-05,btc,56662.38,4757214.0
2024-07-04,btc,56977.7,5024008.0
2024-07-03,btc,60173.92,5178265.5
2024-07-02,btc,62029.02,5244467.0
2024-07-01,btc,62851.98,5225348.5
2024-06-30,btc,62678.29,5076038.0
2024-06-29,btc,60887.38,5028748.0
2024-06-28,btc,60320.14,5140992.5
2024-06-27,btc,61604.8,5082688.0
2024-06-26,btc,60811.28,5155493.0
2024-06-25,btc,61804.64,5029948.0
2024-06-24,btc,60277.41,5279561.0
2024-06-23,btc,63180.8,5369292.5
2024-06-22,btc,64252.58,5356224.5
2024-06-21,btc,64096.2,5419796.0
2024-06-20,btc,64828.66,5418972.5
2024-06-19,btc,64960.3,5431403.0
2024-06-18,btc,65140.75,5551969.0
2024-06-17,btc,66490.3,5567829.5
2024-06-16,btc,66639.05,5530360.5
2024-06-15,btc,66191.0,5515329.0
2024-06-14,btc,66011.09,5575985.5
2024-06-13,btc,66756.4,5695030.5
2024-06-12,btc,68241.19,5628759.0
2024-06-11,btc,67332.03,5806462.5
2024-06-10,btc,69512.28,5817547.0
2024-06-09,btc,69647.99,5788899.5
2024-06-08,btc,69305.77,5791974.5
2024-06-07,btc,69342.59,5906089.5
2024-06-06,btc,70757.16,5926718.0
2024-06-05,btc,71082.82,5904867.5
2024-06-04,btc,70567.77,5717563.5
2024-06-03,btc,68804.78,5653942.0
2024-06-02,btc,67751.6,5650878.5
2024-06-01,btc,67706.94,5632891.0
2024-05-31,btc,67491.41,5696249.5
2024-05-30,btc,68364.99,5633712.0
2024-05-29,btc,67578.09,5682712.5
2024-05-28,btc,68296.22,5769932.5
2024-05-27,btc,69394.55,5690595.0
2024-05-26,btc,68518.09,5753143.0
2024-05-25,btc,69265.95,5691692.0
2024-05-24,btc,68526.1,5657632.0
2024-05-23,btc,67929.56,5756167.0
2024-05-22,btc,69122.34,5843603.5
2024-05-21,btc,70136.53,5952385.0
2024-05-20,btc,71448.2,5521032.0
2024-05-19,btc,66278.37,5576206.0
2024-05-18,btc,66940.8,5585458.0
2024-05-17,btc,67051.88,5445223.5
2024-05-16,btc,65231.58,5526996.5
2024-05-15,btc,66267.49,5141106.5
2024-05-14,btc,61552.79,5252627.0
2024-05-13,btc,62901.45,5132480.5
2024-05-12,btc,61448.39,5079111.0
2024-05-11,btc,60793.71,5079033.0
2024-05-10,btc,60792.78,5262278.5
2024-05-09,btc,63049.96,5107036.5
2024-05-08,btc,61187.94,5202716.5
2024-05-07,btc,62334.82,5275200.5
2024-05-06,btc,63161.95,5338932.5
2024-05-05,btc,64031.13,5327284.0
2024-05-04,btc,63891.47,5243767.0
2024-05-03,btc,62889.84,4931158.0
2024-05-02,btc,59123.43,4858771.0
2024-05-01,btc,58254.01,5063095.0
2024-04-30,btc,60636.86,5327187.5
2024-04-29,btc,63841.12,5263803.5
2024-04-28,btc,63113.23,5289312.0
2024-04-27,btc,63419.14,5317350.0
2024-04-26,btc,63755.32,5370349.5
2024-04-25,btc,64481.71,5356859.0
2024-04-24,btc,64276.9,5531098.0
2024-04-23,btc,66407.27,5573610.5
2024-04-22,btc,66837.68,5413944.0
2024-04-21,btc,64926.64,5418612.5
2024-04-20,btc,64994.44,5322664.0
2024-04-19,btc,63843.57,5306188.0
2024-04-18,btc,63512.75,5122489.5
2024-04-17,btc,61276.69,5338995.5
2024-04-16,btc,63811.86,5296485.0
2024-04-15,btc,63426.21,5496504.5
2024-04-14,btc,65738.73,5336200.5
2024-04-13,btc,63821.47,5618338.0
2024-04-12,btc,67195.87,5839520.0
2024-04-11,btc,70060.61,5887949.5
2024-04-10,btc,70587.88,5754063.5
2024-04-09,btc,69139.02,5964774.5
2024-04-08,btc,71631.36,5777696.5
2024-04-07,btc,69362.55,5738843.5
2024-04-06,btc,68896.11,5650676.5
2024-04-05,btc,67837.64,5719224.0
2024-04-04,btc,68508.84,5501053.5
2024-04-03,btc,65980.81,5455028.0
2024-04-02,btc,65446.97,5814062.0
2024-04-01,btc,69702.15,5947552.5
2024-03-31,btc,71333.65,5807258.0
2024-03-30,btc,69645.3,5827897.5
2024-03-29,btc,69892.83,5899736.5
2024-03-28,btc,70744.95,5789821.5
2024-03-27,btc,69455.34,5832419.5
2024-03-26,btc,69987.84,5835813.0
2024-03-25,btc,69958.81,5620988.5
2024-03-24,btc,67234.17,5355205.5
2024-03-23,btc,64062.2,5331511.5
2024-03-22,btc,63778.76,5449883.0
2024-03-21,btc,65491.39,5640560.0
2024-03-20,btc,67913.67,5139905.0
2024-03-19,btc,61912.77,5600173.5
2024-03-18,btc,67548.59,5668867.5
2024-03-17,btc,68390.63,5413980.0
2024-03-16,btc,65315.12,5752889.0
2024-03-15,btc,69403.77,5923472.0
2024-03-14,btc,71396.59,6053744.5
2024-03-13,btc,73083.5,5921178.0
2024-03-12,btc,71481.29,5970307.5
2024-03-11,btc,72123.91,5711783.0
2024-03-10,btc,69019.79,5668443.0
2024-03-09,btc,68498.88,5651993.0
2024-03-08,btc,68300.09,5536280.0
2024-03-07,btc,66925.48,5474922.0
2024-03-06,btc,66106.8,5288164.5
2024-03-05,btc,63801.2,5665394.5
2024-03-04,btc,68330.41,5233194.5
2024-03-03,btc,63167.37,5138946.5
2024-03-02,btc,62029.85,5172978.5
2024-03-01,btc,62440.63,5074217.5
2024-02-29,btc,61198.38,5182407.0
2024-02-28,btc,62504.79,4734914.0
2024-02-27,btc,57085.37,4517304.0
2024-02-26,btc,54522.4,4287817.5
2024-02-25,btc,51733.24,4274313.5
2024-02-24,btc,51571.1,4204763.0
2024-02-23,btc,50731.95,4251773.5
2024-02-22,btc,51304.97,4299430.5
2024-02-21,btc,51839.18,4332682.0
2024-02-20,btc,52284.88,4298738.5
2024-02-19,btc,51779.14,4326905.5
2024-02-18,btc,52122.55,4288767.5
2024-02-17,btc,51663.0,4330042.5
2024-02-16,btc,52160.2,4311411.5
2024-02-15,btc,51938.55,4302411.5
2024-02-14,btc,51826.7,4131863.25
2024-02-13,btc,49742.44,4146055.25
2024-02-12,btc,49958.22,4008989.5
2024-02-11,btc,48293.92,3965720.25
2024-02-10,btc,47771.28,3913912.5
2024-02-09,btc,47147.2,3759249.0
2024-02-08,btc,45301.57,3677905.25
2024-02-07,btc,44318.22,3579071.75
2024-02-06,btc,43084.67,3542608.0
2024-02-05,btc,42658.67,3534380.75
2024-02-04,btc,42583.58,3568397.5
2024-02-03,btc,42992.25,3584467.25
2024-02-02,btc,43185.86,3572750.0
2024-02-01,btc,43075.77,3536649.5
2024-01-31,btc,42582.61,3569832.0
2024-01-30,btc,42952.61,3599562.5
2024-01-29,btc,43288.25,3493935.0
2024-01-28,btc,42035.59,3500922.25
2024-01-27,btc,42120.05,3475722.25
2024-01-26,btc,41816.87,3320454.25
2024-01-25,btc,39933.81,3330631.5
2024-01-24,btc,40077.07,3316012.25
2024-01-23,btc,39845.55,3282879.0
2024-01-22,btc,39507.37,3453550.25
2024-01-21,btc,41545.79,3463341.25
2024-01-20,btc,41665.59,3459419.75
2024-01-19,btc,41618.41,3431534.5
2024-01-18,btc,41262.06,3553361.25
2024-01-17,btc,42742.65,3585720.25
2024-01-16,btc,43154.95,3522526.75
2024-01-15,btc,42511.97,3463847.5
2024-01-14,btc,41796.27,3550753.0
2024-01-13,btc,42842.38,3551647.0
2024-01-12,btc,42853.17,3852016.5
2024-01-11,btc,46368.59,3870765.25
2024-01-10,btc,46627.78,3835658.25
2024-01-09,btc,46139.73,3900830.0
2024-01-08,btc,46970.5,3654908.75
2024-01-07,btc,43943.1,3659452.25
2024-01-06,btc,43989.2,3673885.5
